code,system
2BBL.00,readv2
2BBM.00,readv2
2BBX.00,readv2
F420400,readv2
2BBP.00,readv2
2BBQ.00,readv2
F420000,readv2
2BBR.00,readv2
2BBS.00,readv2
2BBT.00,readv2
2BBV.00,readv2
2BBk.00,readv2
2BBl.00,readv2
F420100,readv2
F420200,readv2
F420700,readv2
2BBW.00,readv2
7276.00,readv2
C105.00,readv2
C105000,readv2
C105100,readv2
C105z00,readv2
C105y00,readv2
C108112,readv2
C109111,readv2
C109112,readv2
C10E100,readv2
C10E111,readv2
C10F100,readv2
C10F111,readv2
C108100,readv2
C108700,readv2
C108F00,readv2
C109100,readv2
C109600,readv2
C109E00,readv2
C10E112,readv2
C10E712,readv2
C10EF12,readv2
F420600,readv2
F420800,readv2
C108F11,readv2
C108F12,readv2
C109E11,readv2
C109E12,readv2
C10EF00,readv2
C10FE00,readv2
C10FE11,readv2
F464000,readv2
C10EP00,readv2
C10EP11,readv2
C10FQ00,readv2
F420300,readv2
F420500,readv2
F440700,readv2
100770.0,med
100964.0,med
10099.0,med
101881.0,med
102740.0,med
10659.0,med
10755.0,med
110400.0,med
11129.0,med
11433.0,med
11599.0,med
11626.0,med
13097.0,med
13099.0,med
13101.0,med
13102.0,med
13103.0,med
13108.0,med
1323.0,med
17262.0,med
17313.0,med
17545.0,med
18387.0,med
18496.0,med
22871.0,med
25591.0,med
2986.0,med
30477.0,med
3286.0,med
33254.0,med
34283.0,med
38161.0,med
3837.0,med
41049.0,med
41389.0,med
42762.0,med
44260.0,med
44779.0,med
44982.0,med
47144.0,med
47321.0,med
47328.0,med
47377.0,med
47584.0,med
47649.0,med
48192.0,med
49276.0,med
49554.0,med
49655.0,med
50429.0,med
52041.0,med
52630.0,med
58604.0,med
59725.0,med
6509.0,med
65463.0,med
69278.0,med
69748.0,med
70316.0,med
7069.0,med
93727.0,med
93875.0,med
95343.0,med
97894.0,med
98071.0,med
9835.0,med
99311.0,med
E10.3,icd10
E11.3,icd10
E12.3,icd10
E14.3,icd10
E13.3,icd10
H35.2,icd10
H28.0,icd10